arrival,start,finish,wait,queue_length
39.77428739468197,39.77428739468197,39.90398222854022,0.0,0
40.28569266756772,40.28569266756772,40.615543101802146,0.0,0
41.26436685821489,41.26436685821489,41.46491144492649,0.0,0
41.54753408978577,41.54753408978577,42.81461731124638,0.0,0
42.133482739263314,42.133482739263314,42.53435357689324,0.0,1
42.257760363061266,42.53435357689324,44.6873325693723,0.27659321383197266,2
42.90270031454551,42.90270031454551,42.91784834037766,0.0,1
43.14675023222528,43.14675023222528,43.55742765294262,0.0,1
45.077883266386635,45.077883266386635,45.177653894004706,0.0,0
46.03184835071658,46.03184835071658,46.30815755238602,0.0,0
46.302235485054155,46.302235485054155,46.51827020595201,0.0,1
47.67648833661358,47.67648833661358,50.30655299194531,0.0,0
47.973188897130434,47.973188897130434,48.28130253564668,0.0,1
48.30906730294296,48.30906730294296,51.021568603857666,0.0,1
48.375131237784466,50.30655299194531,50.5296621464681,1.9314217541608443,2
48.47975852188411,50.5296621464681,52.52635358161138,2.0499036245839903,2
48.58090492352463,51.021568603857666,51.72370006156211,2.4406636803330386,2
49.625602374617664,51.72370006156211,54.35045766226636,2.098097686944449,2
49.94644188143008,52.52635358161138,57.8000161711278,2.579911700181299,2
52.055810017779166,54.35045766226636,57.50450114095951,2.294647644487192,2
52.25737214404229,57.50450114095951,57.71799607842878,5.247128996917219,2
53.00990282657091,57.71799607842878,58.17190990526684,4.708093251857875,2
54.98122740645907,57.8000161711278,58.2047096015309,2.8187887646687315,2
55.871470532750934,58.17190990526684,59.48834912432941,2.3004393725159034,2
57.34222334240503,58.2047096015309,60.33069814407832,0.8624862591258733,2
58.00764214441835,59.48834912432941,60.26575440971185,1.4807069799110621,2
58.78910811052113,60.26575440971185,60.93305037607589,1.476646299190726,2
59.47968519350785,60.33069814407832,62.91361370695756,0.8510129505704711,2
59.86000051111913,60.93305037607589,62.306285263892335,1.073049864956758,2
60.154868750290326,62.306285263892335,64.28020858436206,2.1514165136020083,2
60.79177247514449,62.91361370695756,63.07012190638796,2.1218412318130717,2
61.11005062388301,63.07012190638796,63.881196797737964,1.9600712825049484,2
61.37125856674394,63.881196797737964,65.18423062425249,2.509938230994024,2
61.76955388461354,64.28020858436206,67.86707532052442,2.510654699748514,2
62.43278212089432,65.18423062425249,65.35496816136923,2.7514485033581693,2
64.17699690700319,65.35496816136923,66.0337237793574,1.1779712543660423,2
64.63209456919664,66.0337237793574,67.74331016560666,1.4016292101607633,2
64.90753659749409,67.74331016560666,68.23525545784243,2.8357735681125718,2
66.82034217122644,67.86707532052442,68.21701701358924,1.0467331492979781,2
68.29740462067983,68.29740462067983,69.03022300876509,0.0,0
68.650183423037,68.650183423037,68.75251603170379,0.0,1
68.65356287727118,68.75251603170379,69.17268843592221,0.098953154432607,2
69.09616448830927,69.09616448830927,69.8526838436909,0.0,1
69.48763469616809,69.48763469616809,70.74272465096378,0.0,1
69.60703283530712,69.8526838436909,71.22513008315059,0.24565100838377418,2
69.75426175696656,70.74272465096378,70.90658675443353,0.9884628939972231,2
70.64933109946344,70.90658675443353,71.17826399801059,0.25725565497009484,2
70.88230161661892,71.17826399801059,71.78351377826851,0.29596238139167497,2
71.35499660072682,71.35499660072682,71.67018973603354,0.0,1
71.42534763807615,71.67018973603354,71.91667670185343,0.2448420979573882,2
72.03143568773605,72.03143568773605,73.27221097330634,0.0,0
